"id","userId","platformId","platformVideoId","originalUrl","title","description","thumbnail","uploadedAt","createdAt","updatedAt",platformSlug,userUsername
"01JNH1QRXDPAEVXP8AV7VQH01E","01JNH1QRWSHYJRSSSC37MFGHHK","01JNH1QRKBZYR0NV0Z4BTE0B5E",KjE2gZeWMic,https://youtube.com/watch?v=KjE2gZeWMic,Himzi Ngeledek Saya!,Obrolan Dengan Seonggok Himzi,https://i3.ytimg.com/vi/KjE2gZeWMic/maxresdefault.jpg,2025-03-04 17:02:29.803,2025-03-04 17:02:29.804,2025-03-04 17:02:29.804,youtube,Dery
"01JNYRS0RMZJPVJY8JHVSEC1GD","01JNYQZHWCKQYRZZPNQGAEQX00","01JNH1QRKBZYR0NV0Z4BTE0B5E",_Qn9B9mD2bI,https://www.youtube.com/watch?v=_Qn9B9mD2bI,[MV] Bibir yang Telah Dicuri - JKT48,"111111",https://i3.ytimg.com/vi/_Qn9B9mD2bI/maxresdefault.jpg,2025-02-20 10:02:29.803,2025-03-10 00:55:15.475,2025-03-10 03:00:53.933,youtube,Dery
"01JP3260NBBCDFT0YNGW2XNJK1","01JP2Z2ARZHSZGAFE6G2H3YEGS","01JNH1QRKBZYR0NV0Z4BTE0B5E",kvhNCk257WY,https://www.youtube.com/watch?v=kvhNCk257WY,[MV] #KuSangatSuka - JKT48,"JKT48 26th Single #KuSangatSuka out now!

This song is presented to you by the Elected Members of JKT48 26th Single Member General Election (Pemilihan Member Single ke-26 JKT48):
1. Feni Fitriyanti (Center)
2. Angelina Christy
3. Jessica Chandra
4. Fiony Alveria
5. Mutiara Azzahra
6. Freya Jayawardana
7. Gita Sekar
8. Shania Gracia
9. Marsha Lenathea
10. Aurellia
11. Lulu Salsabila
12. Cornelia Vanissa

Thank you for all your support, please enjoy #KuSangatSuka !

#JKT48 #KuSangatSukaJKT48",https://i.ytimg.com/vi/kvhNCk257WY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCc0ErbXoGAbkV5qsEYsZ2VDR7kEg,2025-02-02 10:59:06.000,2025-03-11 16:56:36.267,2025-03-11 16:56:36.267,youtube,Dery
"01JP329R5A0GT9JH9EP01E7D42","01JP2Z2ARZHSZGAFE6G2H3YEGS","01JNH1QRKBZYR0NV0Z4BTE0B5E",w3xexlaQQ3U,https://www.youtube.com/watch?v=w3xexlaQQ3U,Better,"Provided to YouTube by Indonesia Musik Nusantara

Better · JKT48

Mahagita Vol. 2

℗ JKT48

Released on: 2023-10-27

Composer: Toyama Daisuke
Lyricist: Yasushi Akimoto

Auto-generated by YouTube.",https://i.ytimg.com/vi/w3xexlaQQ3U/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBzC4eb926hkyYrkN_R8FP7X1y76g,2023-10-26 10:00:54.000,2025-03-11 16:58:38.634,2025-03-11 16:58:38.634,youtube,Dery
"01JP33KP40KA0K67JX0685643M","01JP2Z2ARZHSZGAFE6G2H3YEGS","01JNH1QRKBZYR0NV0Z4BTE0B5E",hIvYeNQYvmk,https://www.youtube.com/watch?v=hIvYeNQYvmk,Jiwaru Days,"Provided to YouTube by Indonesia Musik Nusantara

Jiwaru Days · JKT48

Mahagita Vol. 2

℗ JKT48

Released on: 2023-10-27

Composer: Yoshida Tsukasa
Composer: Tsukada Kohei
Lyricist: Yasushi Akimoto

Auto-generated by YouTube.",https://i.ytimg.com/vi/hIvYeNQYvmk/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBXB-qaGtt6gipa0EWAAQ4wiCNC2Q,2023-10-26 10:00:43.000,2025-03-11 17:21:32.801,2025-03-11 17:21:32.801,youtube,Dery
"01JP34SF3P00FXNYCKZJA3JE11","01JP2Z2ARZHSZGAFE6G2H3YEGS","01JNH1QRKBZYR0NV0Z4BTE0B5E",OpACc2RRTlA,https://www.youtube.com/watch?v=OpACc2RRTlA,Langit Biru Cinta Searah (New Era Version),"Provided to YouTube by Indonesia Musik Nusantara

Langit Biru Cinta Searah (New Era Version) · JKT48

Langit Biru Cinta Searah - Special Release

℗ JKT48

Released on: 2024-03-27

Arranger: Aokuri
Arranger: Nonaka ""Masa"" Yuichi
Composer: Takamitsu Shimazaki
Lyricist: Yasushi Akimoto

Auto-generated by YouTube.",https://i.ytimg.com/vi/OpACc2RRTlA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDNKwH7fhVa6DFFqxM-FyyuE-7QlQ,2024-03-26 10:00:20.000,2025-03-11 17:42:10.807,2025-03-11 17:42:10.807,youtube,Dery
"01JP356X0VPA5HJG146PXAXQVZ","01JP2Z2ARZHSZGAFE6G2H3YEGS","01JNH1QRKBZYR0NV0Z4BTE0B5E",SEZHwEeoWyA,https://www.youtube.com/watch?v=SEZHwEeoWyA,#KuSangatSuka,"Provided to YouTube by Indonesia Musik Nusantara

#KuSangatSuka · JKT48

#KuSangatSuka

℗ JKT48

Released on: 2025-02-03

Arranger: Aokuri
Producer: Indonesia Musik Nusantara
Composer: Ito Shintaro
Lyricist: Yasushi Akimoto

Auto-generated by YouTube.",https://i.ytimg.com/vi/SEZHwEeoWyA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBKzs7AfXc-20oJHl-fSiKiuvcWWA,2025-02-02 10:00:25.000,2025-03-11 17:49:31.036,2025-03-11 17:49:31.036,youtube,Ipung
"01JP36F48TR4K9P34C542VF3K9","01JP2Z2ARZHSZGAFE6G2H3YEGS","01JNH1QRKBZYR0NV0Z4BTE0B5E",BkcLQHUaAHM,https://www.youtube.com/watch?v=BkcLQHUaAHM,JKT48 - YUUHI WO MITEIRUKA (COVER BY PPM),"don't forget to like comment and subscribe , many thanks!


Follow our social media so you can update our latest cover song.

Instagram : ppm.music
Twitter : ppm_music

Thank you so much ☀️",https://i.ytimg.com/vi/BkcLQHUaAHM/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLA49CaNfE3Ua_aWIRXOgXEk77YcUw,2019-08-09 09:00:05.000,2025-03-11 18:11:29.179,2025-03-11 18:11:29.179,youtube,Ipung
"01JP6GRFF9RKP59JQXR9E3K00J","01JP2Z2ARZHSZGAFE6G2H3YEGS","01JNH1QRKBZYR0NV0Z4BTE0B5E",Ak6T1ePRZKg,https://www.youtube.com/watch?v=Ak6T1ePRZKg,Intensif & Praktis : Raih Peluang Kerja jadi Fullstack Developer🤩🧑🏻‍💻,"Tingkatkan Karir Digital kalian dengan Dicoding🔥

Dicoding Bootcamp adalah program intensif berstandar industri yang dirancang untuk mempersiapkan kalian menjadi talenta digital kompeten melalui pembelajaran mendalam, proyek akhir menantang, dan akses ke jaringan luas serta peluang karier di perusahaan teknologi terkemuka🤩

Yuk langsung daftar di link berikut ini :
🔗dicoding.id/bootcamp
✨Kode Referral : SANDIKADB6

---
Chapter:

0:00 Intro & Pendahuluan
2:10 Apa itu Dicoding Bootcamp?
3:42 Paket Pelatihan
5:42 Alasan Harus Join Dicoding Bootcamp
7:14 Testimoni
7:20 Portfolio
7:50 Syarat Mengikuti Dicoding Bootcamp
9:30 Tutorial Registrasi
11:40 FAQ
13:03 Closing & Kode Referral

---
🔥 SUPPORT WPU 🔥

👕 Beli Hoodie & T-Shirt di WPU Official Store 👕
https://shopee.co.id/wpustore.id

👾 Gabung Server Discord WPU 👾
https://discord.gg/S4rrXQU

- Traktir Pa Dhika (OVO / GoPay / Dana / LinkAja)
https://saweria.co/sandhikagalih

---
📢 FOLLOW SOCIAL MEDIA 📢
- https://www.instagram.com/sandhikagalih
- tiktok.com/@sandhika.galih
- https://twitter.com/sandhikagalih
- https://github.com/sandhikagalih

terimakasih dan #janganlupatitikkoma!

@sandhikagalih",https://i.ytimg.com/vi/Ak6T1ePRZKg/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBH5Plmd9w-CKhm9ZcLWU_eOMDSlw,2025-03-06 11:30:08.000,2025-03-13 01:09:04.616,2025-03-13 01:09:04.616,youtube,Ipung
"01JP6GTH16A7HZ4YNTRM13GF99","01JP2Z2ARZHSZGAFE6G2H3YEGS","01JNH1QRKBZYR0NV0Z4BTE0B5E",nww7nBlOvKA,https://www.youtube.com/watch?v=nww7nBlOvKA,Podcast Sisi Lain WEB PROGRAMMING UNPAS - Sandhika Galih,"Hi, Podcast Programmer yang selalu ditunggu-tunggu kali ini bersama kang Sandhika Galih dari channel youtube Web Programming Unpas.

Kita bakal ngobrolin hal-hal menarik selain dari sisi teknis ngoding sebagai sesama programmer dan youtuber (creator).

jangan lupa set LONCENGNYA. 20.45 WIB LIVE di Dea Afrizal Channel 🔥

SAWER TAKEWERKEWER: https://saweria.co/deaafrizal

channel youtube kang sandhika galih web programming unpas https://www.youtube.com/c/WebProgrammingUNPAS

Join this channel to get access to perks:
https://www.youtube.com/channel/UCU7YluxOYon-yofPxfGHVog/join

#wpu #podcast #webprogrammingunpas
☕ Discord ☕ 
https://discord.com/servers/cuy-universe-887712251887382578

🚀Tiktok @dea.afrizal / https://www.tiktok.com/@dea.afrizal 🚀

=================
💌 Email (for business) 💌
dea.afrizal@icloud.com
==================

👇Youtube gue yang lainnya 👇

✨Braptech Racing Motor (hobi gue merawat motor tua) ✨
https://www.youtube.com/c/braptechracing

🏍 Teman1Roda (hobi gue broadcasting untuk hiburan channel motor) 🏍
https://www.youtube.com/channel/UCke_Wk20Op1GSbBJ4quh3ew

👩‍💻 Dea Afrizal Channel (real life) 👩‍💻
https://www.youtube.com/c/deaafrizal

🔻🔻🔻   SUBSCRIBE   🔻🔻🔻 
               For More Update
🔺🔺🔺LONCENGNYA 🔺🔺🔺",https://i.ytimg.com/vi/nww7nBlOvKA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBooNGsTWara-hP1TSfHN33XIArxQ,2022-04-15 15:25:52.000,2025-03-13 01:10:11.751,2025-03-13 01:10:11.751,youtube,Ipung
